availability,detail,images,name,regular_price,sale_price,sku
In stock,"Loved for a chic pendant with subtle personality, the Marisa Necklace in 14k Rose Gold features Pave Diamonds that sparkle at every angle. Whether you layer on another style or wear it alone, there is nothing you can't wear with this timeless necklace. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/3/d/3d260490748a13ba22362d6d6fc9d689.jpg,Marisa Pendant Necklace in White Diamond and 14k Rose Gold,$420.00,$122.00,KS-0029
In stock,"A dainty, everyday accessory with a warm weather flair, the Inaiyah Stud Earrings in Ivory Mother-of-Pearl are accented with nature-inspired details that subtly bring the season to life.																",https://www.jewelryus.shop/images/cache/e/a/eadac5f37ec4c4a476e3cb57489edf85.jpg,Inaiyah Silver Stud Earrings In Ivory Mother of Pearl,$80.00,$20.69,KS-0034
In stock,"A dainty, everyday accessory with a warm weather flair, the Inaiyah Stud Earrings in Lilac Mother-of-Pearl are accented with nature-inspired details that subtly bring the season to life.																",https://www.jewelryus.shop/images/cache/f/c/fce93f8e62827a95da9217cc38335fa2.jpg,Inaiyah Rose Gold Stud Earrings In Lilac Mother of Pearl,$80.00,$20.69,KS-0016
In stock,"A dainty, everyday accessory with a warm weather flair, the Inaiyah Stud Earrings in Red Mother-of-Pearl are accented with nature-inspired details that subtly bring the season to life.																",https://www.jewelryus.shop/images/cache/a/c/ac431de0dd92b1267e89c678b6c15423.jpg,Inaiyah Gold Stud Earrings In Red Mother of Pearl,$80.00,$20.69,KS-0015
In stock,"Make a subtle statement with the studded accents and line of Pave Diamonds on the Dorothy Stud Earrings. With true heirloom style and 14k White Gold, you can wear these earrings for years to come. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/8/2/826364d9f064e8e141827e1a524c5fff.jpg,Dorothy Stud Earrings in White Diamond and 14k White Gold,$420.00,$122.00,KS-0080
In stock,"With a gathering of Pave Diamonds on a 14k White Gold backdrop, the Gypsy Stud Earrings provide maximum sparkle on petite studs. Wear these high-impact earrings to add that something special to your everyday and beyond. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/e/8/e8e3087d1c071a04b40204020685306e.jpg,Gypsy Stud Earrings in White Diamond and 14k White Gold,$420.00,$122.00,KS-0077
In stock,"Elegant enough for an event yet simple enough for the everyday, the Melissa Earrings in Gold gently dust the shoulder with angular faceting and crystal accents. 																",https://www.jewelryus.shop/images/cache/8/1/810dc80e3197ea0e41a283f8a572d081.jpg,Melissa Statement Earrings In Gold,$90.00,$23.00,KS-0018
In stock,"Carefully placed Pave Diamonds on a background of 14k Rose Gold provide the perfect amount of sparkle to the Millicent Adjustable Bracelet, a standout addition to your wardrobe that will fit in with everything you wear. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/0/6/06bf7bbbb43562cc55138c06790c9dfe.jpg,Millicent Adjustable Bracelet in White Diamond and 14k Rose Gold,$445.00,$129.50,KS-0081
In stock,"Our signature oval shape is removed from its frame for the first time to create the Aragon Drop Earrings, a modern style with a dynamic Black Mother-of-Pearl centerpiece and Silver accent.																",https://www.jewelryus.shop/images/cache/c/7/c7e89fd696a10f31c413397f0cec0b2b.jpg,Aragon Silver Statement Earrings in Black Mother of Pearl,$100.00,$26.00,KS-0032
In stock,"A long Red Mother-of-Pearl stone with nature-inspired details delicately dangles on the Grey Drop Earrings, an easy-to-wear addition to your wardrobe.																",https://www.jewelryus.shop/images/cache/f/a/facc52107dc325ff1f7a4bc5699b6f51.jpg,Grey Gold Drop Earrings In Red Mother of Pearl,$90.00,$23.00,KS-0074
In stock,"Make an effortless statement with the Rosenell Drop Earrings in Ivory Mother-of-Pearl, featuring nature-inspired details that perfectly accent the season.																",https://www.jewelryus.shop/images/cache/0/b/0bce1e52c2d4cb86070eb67ac0b7baf9.jpg,Rosenell Silver Drop Earrings In Ivory Mother of Pearl,$90.00,$23.00,KS-0067
In stock,"Our signature oval shape is removed from its frame for the first time to create the Aragon Drop Earrings, a modern style with a dynamic Aqua Howlite centerpiece and Gold accent.																",https://www.jewelryus.shop/images/cache/5/6/56cd9ede8233af7194222dd0d0d16030.jpg,Aragon Gold Statement Earrings in Aqua Howlite,$100.00,$26.00,KS-0076
In stock,"Defined by a dusting of Pave Diamonds and dainty stud accents, the Molly Adjustable Chain Bracelet in 14k Rose Gold looks stunning whether sparkling on its own or elegantly layered. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/6/8/6853c8578b8770eb76292ccc4845c78f.jpg,Molly Adjustable Chain Bracelet in White Diamond and 14k Rose Gold,$495.00,$144.50,KS-0066
In stock,The adjustable Graham Choker Necklace in Gold features sharp facets and delicate crystal accents for a classic accessory that is still on trend.																,https://www.jewelryus.shop/images/cache/d/b/db9830ff386b137c8da07490779bae39.jpg,Graham Choker Necklace In Gold,$130.00,$35.00,KS-0059
In stock,The adjustable Graham Choker Necklace in Rose Gold features sharp facets and delicate crystal accents for a classic accessory that is still on trend.																,https://www.jewelryus.shop/images/cache/c/8/c8418baa0b71192a81aa8ca4ff010ba4.jpg,Graham Choker Necklace In Rose Gold,$130.00,$35.00,KS-0057
Out of Stock,"The crown-inspired details and Diamond accents of the Michelle Band Ring in 14k Gold will inspire an understated look of nobility. Whether you style it solo or pair it with our Wave Band Ring, this touch of sparkle is a uniquely timeless accent. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/8/9/8904e00a8900d94ba53fbb8962f8c0a0.jpg,Michelle Band Ring Gold,$320.00,$92.00,KS-0145
In stock,"A dainty, everyday accessory with a warm weather flair, the Inaiyah Stud Earrings in Pink Agate are accented with nature-inspired details that subtly bring the season to life.																",https://www.jewelryus.shop/images/cache/c/4/c49959c405022067ecdea00d3043f47f.jpg,Inaiyah Gold Stud Earrings In Pink Agate,$80.00,$20.69,KS-0058
In stock,"Our classic oval shape goes dainty in the Lee Silver Drop Earrings in Abalone Shell, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/a/f/af50bb867220ba00b0723a4d579e09c1.jpg,Lee Silver Drop Earrings in Abalone Shell,$80.00,$20.69,KS-0064
In stock,"Custom oval stones in a thin metallic frame, our Elle Gold Drop Earrings in Aqua Howlite are classics sure to spark conversation.																",https://www.jewelryus.shop/images/cache/2/d/2d2d8a0106f13bc28baa2f110f5f4fd6.jpg,Elle Gold Drop Earrings in Aqua Howlite,$75.00,$19.89,KS-0140
In stock,"With a dainty Silver chain and a frameless Abalone Shell pendant that takes center stage, the Inez Long Pendant Necklace is an updated take on a Kendra Scott classic.																",https://www.jewelryus.shop/images/cache/a/4/a4266541fe7249d65fb8119b770f484d.jpg,Inez Silver Long Pendant Necklace in Abalone Shell,$110.00,$29.00,KS-0144
In stock,"Our signature oval shape is removed from its frame for the first time to create the Aragon Drop Earrings, a modern style with a dynamic Red Mother-of-Pearl centerpiece and Gold accent.																",https://www.jewelryus.shop/images/cache/b/0/b03482edb7a4ca7eca1c0d8549e52fbe.jpg,Aragon Gold Statement Earrings in Magenta,$100.00,$26.00,KS-0143
Out of Stock,"Featuring delicate stud accents in 14k Gold and a Diamond centerpiece, there's no doubt that the Wave Band Ring is made to love forever. Stack it with our Michelle Band Ring or wear it alone for understated sparkle. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/c/7/c7895805727282bac5ce98ae5710316c.jpg,Wave Band Ring Gold,$320.00,$92.00,KS-0135
In stock,"Carefully placed Pave Diamonds on a background of 14k White Gold provide the perfect amount of sparkle to the Millicent Adjustable Bracelet, a standout addition to your wardrobe that will fit in with everything you wear. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/3/2/3280ee384a091f1e0ef40b8a7ce87f07.jpg,Millicent Adjustable Bracelet in White Diamond and 14k White Gold,$445.00,$129.50,KS-0082
In stock,"Our most iconic silhouette, the Danielle Matte Statement Earrings in Ivory Mother-of-Pearl feature custom cut, oval stones framed in a matte White finish perfect for any occasion.																",https://www.jewelryus.shop/images/cache/3/a/3a9e166728c4c7cf576ed6866fd0806e.jpg,Danielle Matte Statement Earrings in Ivory Mother of Pearl,$95.00,$24.50,KS-0133
Out of Stock,"Featuring delicate stud accents in 14k Gold and a Diamond centerpiece, there's no doubt that the Wave Band Ring is made to love forever. Stack it with our Michelle Band Ring or wear it alone for understated sparkle. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/6/3/639df02892958aff77e4ef3efba8b786.jpg,Wave Band Ring Silver,$320.00,$92.00,KS-0137
In stock,"Simple and made for everyday wear, the Tabitha Pendant Necklace in Silver is loved for its unique faceting and crystal accents.																",https://www.jewelryus.shop/images/cache/0/f/0fab208d04766171d0a3f25ddddb8ed7.jpg,Tabitha Pendant Necklace in Silver,$85.00,$21.89,KS-0142
In stock,"A dainty stone and delicate matte Red chain combine to create the Elisa Matte Necklace in Red Mother-of-Pearl, your new favorite wear-anywhere accessory.																",https://www.jewelryus.shop/images/cache/3/f/3f75b2a2c52edb5bc515d949f73cff92.jpg,Elisa Matte Necklace in Red Mother of Pearl,$80.00,$20.69,KS-0129
In stock,"Simple and made for everyday wear, the Tabitha Pendant Necklace in Gold is loved for its unique faceting and crystal accents.																",https://www.jewelryus.shop/images/cache/3/1/31f827bdbf6a1e772bba6d28b9d34212.jpg,Tabitha Pendant Necklace in Gold,$85.00,$21.89,KS-0138
In stock,"Our classic oval shape goes dainty in the Lee Gold Drop Earrings in Red Mother-of-Pearl, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/8/2/82a67a14dfa919ed32987e6a750ee2dd.jpg,Lee Gold Drop Earrings in Red Mother of Pearl,$80.00,$20.69,KS-0131
In stock,"Make a subtle statement with the studded accents and line of Pave Diamonds on the Dorothy Stud Earrings. With true heirloom style and 14k Rose Gold, you can wear these earrings for years to come. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/6/1/61b8c72ce491325d786cefbb33fba844.jpg,Dorothy Stud Earrings in White Diamond and 14k Rose Gold,$420.00,$122.00,KS-0132
Out of Stock,"A slim pinch bracelet bookended with dazzling Aqua Kyocera Opals, these Jackson Bracelets look best stacked together.																",https://www.jewelryus.shop/images/cache/5/0/50d46720606103610ef4e848adf1e5f2.jpg,Jackson Pinch Bracelet in Aqua Kyocera Opal,$95.00,$24.50,KS-0212
In stock,"A dainty stone and delicate matte Lilac chain combine to create the Elisa Matte Necklace in Lilac Mother-of-Pearl, your new favorite wear-anywhere accessory.																",https://www.jewelryus.shop/images/cache/2/a/2a9625b2d7533c07582630f6f20d0482.jpg,Elisa Matte Necklace in Lilac Mother of Pearl,$80.00,$20.69,KS-0202
In stock,"With a dainty Rose Gold chain and a frameless Lilac Mother-of-Pearl pendant that takes center stage, the Inez Long Pendant Necklace is an updated take on a Kendra Scott classic.																",https://www.jewelryus.shop/images/cache/2/d/2d81454907f088c9a4af09d091a0b861.jpg,Inez Rose Gold Long Pendant Necklace in Lilac Mother of Pearl,$110.00,$29.00,KS-0206
In stock,"Upgrade your simple hoop with the Elora Rhodium Hoop Earrings in Iridescent Drusy, featuring a dainty stone in our signature oval shape.																",https://www.jewelryus.shop/images/cache/0/8/089faf06cfaf09e6978e8d930d5203b7.jpg,Elora Silver Hoop Earrings in Iridescent Drusy,$105.00,$27.50,KS-0199
In stock,"Upgrade your simple hoop with the Elora Silver Hoop Earrings in Ivory Mother-of-Pearl, featuring a dainty stone in our signature oval shape.																",https://www.jewelryus.shop/images/cache/a/1/a124ae9d7a8eabac711a2790ca4679d6.jpg,Elora Silver Hoop Earring in Ivory Mother of Pearl,$90.00,$23.00,KS-0198
In stock,"For a necklace that??s as bold as it is beautiful, look no further then seven striking stones linked together to create the Harlow Statement Necklace in Suspended Ivory Pearl.																",https://www.jewelryus.shop/images/cache/6/f/6ffd478588194b63ae671e024812362e.jpg,Harlow Statement Necklace in Suspended Ivory Pearl,$245.00,$69.50,KS-0204
In stock,"A dainty stone and delicate metallic chain combine to create the Elisa Rose Gold Pendant Necklace in Lilac Mother-of-Pearl, your new favorite wear-anywhere accessory.																",https://www.jewelryus.shop/images/cache/4/7/47a62c219b86c231c7fa3633cd11d39c.jpg,Elisa Rose Gold Pendant Necklace Lilac Mother of Pearl,$80.00,$20.69,KS-0197
In stock,,https://www.jewelryus.shop/images/cache/d/8/d8129660e7a6d949d832c19d7627f108.jpg,Elaina Gold Chain Bracelet in Red Mother of Pearl,$80.00,$18.99,KS-0201
In stock,"For a necklace that as bold as it is beautiful, look no further then seven striking stones linked together to create the Harlow Gold Statement Necklace in Aqua Howlite.																",https://www.jewelryus.shop/images/cache/0/3/03e2c9c56836133b0a85ebdd9e082cb6.jpg,Harlow Gold Statement Necklace in Aqua Howlite,$215.00,$60.50,KS-0203
In stock,"A dainty stone and delicate metallic chain combine to create the Elisa Rose Gold Pendant Necklace in Brown Mother-of-Pearl, your new favorite wear-anywhere accessory.																",https://www.jewelryus.shop/images/cache/9/e/9e6007e93d601bc822c9c36f8bdc06cd.jpg,Elisa Rose Gold Pendant Necklace in Brown Mother of Pearl,$80.00,$20.69,KS-0195
In stock,"Inspired by a blend of nature, glamour and romance, the Cleo Necklace in Gold radiates with a unique shimmer worthy of any celebration.2"" gold flip extender included.																",https://www.jewelryus.shop/images/cache/8/2/82c8b3e7ef7dc48d26a5a0dca15d2acd.jpg,Cleo Collar Necklace in Gold,$169.97,$46.99,KS-0271
In stock,"Our classic oval shape goes dainty in the Lee Rose Gold Drop Earrings in Lilac Mother-of-Pearl, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/3/a/3a97b5ac268895fddeda3fe15822159f.jpg,Lee Rose Gold Drop Earrings in Lilac Mother of Pearl,$80.00,$20.69,KS-0194
Out of Stock,"Featuring delicate stud accents in 14k Gold and a Diamond centerpiece, there's no doubt that the Wave Band Ring is made to love forever. Stack it with our Michelle Band Ring or wear it alone for understated sparkle. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/6/6/66ef4fd11e575792d5fe650155e48834.jpg,Wave Band Ring Rose Gold,$320.00,$92.00,KS-0136
In stock,"Inspired by a blend of nature, glamour and romance, the Cleo Necklace in Silver radiates with a unique shimmer worthy of any celebration.2"" silver flip extender included.																",https://www.jewelryus.shop/images/cache/6/5/6546babe3a8a47875d445a24c605ab3b.jpg,Cleo Collar Necklace in Silver,$169.97,$46.99,KS-0270
In stock,"Our most iconic silhouette, the Danielle Silver Earrings in Black feature custom cut, oval stones framed in sleek metallic detail perfect for any occasion.																",https://www.jewelryus.shop/images/cache/6/e/6e58039e8e91700ed7e0abe834395f81.jpg,Danielle Silver Earrings in Black,$85.00,$21.89,KS-0269
In stock,"Intricate, crown inspired details make the Mary Caroline Bangle Bracelet in Antique Silver the most dynamic addition to your signature stack.																",https://www.jewelryus.shop/images/cache/7/6/76ee81a7a9dcb0e426dd2696c5a3de14.jpg,Mary Caroline Bangle Bracelet in Antique Silver,$70.00,$18.99,KS-0265
In stock,"For a necklace that??s as bold as it is beautiful, look no further then seven striking stones linked together to create the Harlow Statement Necklace in Blush Pearl.																",https://www.jewelryus.shop/images/cache/f/b/fb88abaa3db13a4def56432b60243eb3.jpg,Harlow Statement Necklace in Blush Pearl,$245.00,$69.50,KS-0205
In stock,"Intricate, crown-inspired details with a hint of sparkle, the Mary Caroline Bangle Bracelet in Gold will make you feel like royalty.																",https://www.jewelryus.shop/images/cache/5/3/53eda37a161656ed944db379bab2a054.jpg,Mary Caroline Bangle Bracelet in Gold,$70.00,$18.99,KS-0264
In stock,"A classic silhouette in a delicate metallic frame, the Alex Gunmetal Earrings in Black are a timeless accessory fit for any occasion.																",https://www.jewelryus.shop/images/cache/f/9/f9aaf1cda073500c01c5f3df401581fd.jpg,Alex Gunmetal Earrings in Black,$75.00,$19.89,KS-0267
Out of Stock,"Intricate, crown-inspired details with a hint of sparkle, the Mary Caroline Bangle Bracelet in Silver will make you feel like royalty.																",https://www.jewelryus.shop/images/cache/3/a/3a0eeb2d3530bbea9a1701a33a8da559.jpg,Mary Caroline Bangle Bracelet in Silver,$70.00,$18.99,KS-0263
In stock,"Meet the Elettra Statement Earrings, a masterful expression of feather details and lighthearted romance. These artful jewels are finished with delicate gold and pav?? details.																",https://www.jewelryus.shop/images/cache/0/7/0712c4db96d3da0e8f64e7628c1e5b7d.jpg,Elettra Statement Earrings in Gold,$109.97,$28.99,KS-0261
In stock,"Meet the Elettra Statement Earrings, a masterful expression of feather details and lighthearted romance. These artful jewels are finished with delicate antique silver and pav?? details.																",https://www.jewelryus.shop/images/cache/d/7/d7ce3353f59b0c5438fb606a8e2208e1.jpg,Elettra Statement Earrings in Antique Silver,$109.97,$28.99,KS-0262
In stock,"First inspired by the shape of a crystal hanging from a Victorian chandelier, we dressed up this iconic, feminine shape with delicate 14k Rose Gold and carefully placed Pave Diamonds. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/8/5/85725b466d59a254a74ddab6e9e9e512.jpg,Lexi Drop Earrings in Pave Diamond and 14k Rose Gold,$970.00,$197.00,KS-0260
In stock,"First inspired by the shape of a crystal hanging from a Victorian chandelier, we dressed up this iconic, feminine shape with delicate 14k Yellow Gold and carefully placed Pave Diamonds. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/e/c/ec5d0398ff2dc18c0c20da3569bfd7ee.jpg,Lexi Drop Earrings in Pave Diamond and 14k Yellow Gold,$970.00,$197.00,KS-0259
In stock,"Our most iconic silhouette, the Danielle Statement Earrings in Black Pearl feature custom cut, oval stones framed in sleek metallic detail perfect for any occasion.																",https://www.jewelryus.shop/images/cache/1/f/1f936e5bcc370ca3729fbfe1d64287c7.jpg,Danielle Statement Earrings in Black Pearl,$95.00,$24.50,KS-0256
In stock,"A dainty stone and delicate metallic chain combine to create the Elisa Rose Gold Pendant Necklace in Ivory Pearl, your new favorite wear-anywhere accessory. This pendant necklace can be paired with any look, providing that extra touch of timeless style. Make the Elisa Rose Gold Pendant Necklace a staple in your wardrobe and you will not be disappointed.																",https://www.jewelryus.shop/images/cache/6/c/6c2a859da5fe8e6ad70acdb4a2997c5f.jpg,Elisa Rose Gold Pendant Necklace in Ivory Pearl,$70.00,$18.99,KS-0196
In stock,"Long and layerable, the Kellie Long Necklace in Brown Pearl features dainty versions of our signature oval-shaped stone on a sleek chain.																",https://www.jewelryus.shop/images/cache/5/5/5556e75323f6e6ff08cc3668f5cb4c0d.jpg,Kellie Long Necklace in Brown Pearl,$119.97,$31.99,KS-0257
In stock,"Our classic oval shape goes dainty in the Lee Silver Earrings in Slate, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/3/f/3f33d94571c62f9d39c745e4c3526cbc.jpg,Lee Silver Earrings in Slate,$70.00,$18.99,KS-0258
In stock,"Whether you like your bracelets loose or close to the wrist, our Elaina Rose Gold Adjustable Chain Bracelet in Iridescent Drusy is a delicate addition to any arm party.																",https://www.jewelryus.shop/images/cache/5/a/5a25b9e7a3bf69dec4f300b50ab3314e.jpg,Elaina Rose Gold Adjustable Chain Bracelet in Iridescent Drusy,$85.00,$21.89,KS-0266
In stock,"A delicate kite-shaped stone and metallic detailing team up to create the Cory Pendant Necklace in Ivory Pearl, a timeless accessory that elevates the everyday.																",https://www.jewelryus.shop/images/cache/8/c/8c5d38c64d44df7d811b5e9711378861.jpg,Cory Pendant Necklace in Ivory Pearl,$75.00,$19.89,KS-0251
In stock,"Our most iconic silhouette, the Danielle Silver Earrings in Periwinkle Cat's Eye feature custom cut, oval stones framed in sleek metallic detail perfect for any occasion.																",https://www.jewelryus.shop/images/cache/5/d/5dce8e5a25516bc11ff01011fb270a6e.jpg,Danielle Silver Earrings in Periwinkle Cat's Eye,$85.00,$21.89,KS-0253
In stock,"A delicate chain bracelet with an adjustable slide, our Silver Elaina Bracelet in Black Mother-of-Pearl is a must-have layer for any style.																",https://www.jewelryus.shop/images/cache/9/b/9b009669f4ed2d6eafd6cbce4d9774cf.jpg,Elaina Silver Chain Bracelet in Black Mother of Pearl,$80.00,$20.69,KS-0324
In stock,"Custom oval stones in a thin metallic frame, our Elle Rose Gold Earrings in Ivory Pearl are classics sure to spark conversation.																",https://www.jewelryus.shop/images/cache/2/f/2fefdc75beb2337eb0bbeda78317b00e.jpg,Elle Rose Gold Earrings in Ivory Pearl,$75.00,$19.89,KS-0268
In stock,"A delicate kite-shaped stone and metallic detailing team up to create the Cory Gold Pendant Necklace in Abalone Shell, a timeless accessory that elevates the everyday.																",https://www.jewelryus.shop/images/cache/c/8/c8dda13b830c9e396c6ec49261ab4230.jpg,Cory Gold Pendant Necklace in Abalone Shell,$85.00,$21.89,KS-0252
In stock,"Whether you like your bracelets loose or close to the wrist, our Elaina Silver Adjustable Chain Bracelet in Black is a delicate addition to any arm party.																",https://www.jewelryus.shop/images/cache/a/0/a0c7c41adf2bf62b52979a1f4d2b7632.jpg,Elaina Silver Adjustable Chain Bracelet in Black,$70.00,$18.99,KS-0323
In stock,"A true collector's piece, these timeless drop earrings beautifully elevate our iconic silhouette. With custom sized Pave Diamonds for maximum shine and a 14k Rose Gold setting, the Lee Earrings bring classic glamour to every moment worth celebrating. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/5/c/5cdeb18bb55589214b5fce5ec2161f8c.jpg,Lee Earrings in Pave Diamond and 14k Rose Gold,"$1,020.00",$152.00,KS-0321
In stock,Looking for a dainty pop of color that??s anything but subtle,https://www.jewelryus.shop/images/cache/e/7/e721ca7678e9782b9483c067c8b50a84.jpg,Jillian Stud Earrings in Purple Kyocera Opal,$90.00,$23.00,KS-0318
In stock,"Our most iconic silhouette, the Danielle Silver Earrings in White Pearl feature custom cut, oval stones framed in sleek metallic detail perfect for any occasion.																",https://www.jewelryus.shop/images/cache/c/1/c15d45d76b4cfc8417717426298969c1.jpg,Danielle Silver Earrings in White Pearl,$85.00,$21.89,KS-0254
In stock,"A true collector's piece, these timeless drop earrings beautifully elevate our iconic silhouette. With custom sized Pave Diamonds for maximum shine and a 14k Yellow Gold setting, the Lee Earrings bring classic glamour to every moment worth celebrating. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/9/6/9646eb94305c89f5fb391bf6b7b5170e.jpg,Lee Earrings in Pave Diamond and 14k Yellow Gold,"$1,120.00",$152.00,KS-0320
In stock,"Our daintiest oval-shaped earring yet, the Dani Drop Earrings in Chalcedony makes a simple statement for your everyday look.																",https://www.jewelryus.shop/images/cache/4/3/43b939833a5f34903ade4a65124c1400.jpg,Dani Drop Earrings in Chalcedony,$72.00,$17.60,KS-0316
In stock,"Our daintiest oval-shaped earring yet, the Dani Earrings in Ivory Pearl makes a simple statement for your everyday look.																",https://www.jewelryus.shop/images/cache/2/9/29b3ff7947d284da7d63cad35bbe6cf7.jpg,Dani Earrings in Ivory Pearl,$72.00,$17.60,KS-0315
In stock,Looking for a dainty pop of color that??s anything but subtle,https://www.jewelryus.shop/images/cache/5/4/54dc3cbd0499f563da0a4f51916d1e0c.jpg,Jillian Stud Earrings in Aqua Kyocera Opal,$90.00,$23.00,KS-0319
In stock,"Whether you like your bracelets loose or close to the wrist, our Elaina Silver Adjustable Chain Bracelet in Platinum Drusy is a delicate addition to any arm party.																",https://www.jewelryus.shop/images/cache/6/3/638792a892aac11cc0de99eb08528bd6.jpg,Elaina Silver Adjustable Chain Bracelet in Platinum Drusy,$85.00,$21.89,KS-0322
In stock,"Our daintiest oval-shaped earring yet, the Dani Drop Earrings in White Kyocera Opal makes a simple statement for your everyday look.																",https://www.jewelryus.shop/images/cache/9/9/997e9131a0316b8cbfed96390856704a.jpg,Dani Gold Drop Earrings in White Kyocera Opal,$150.00,$41.00,KS-0317
In stock,"Our daintiest oval-shaped earring yet, the Dani Gold Earrings in Slate makes a simple statement for your everyday look.																",https://www.jewelryus.shop/images/cache/3/1/31412cfee554990fd99eb9cb8f24aa6a.jpg,Dani Gold Earrings in Slate,$72.00,$17.60,KS-0313
